Código del ámbito,Ámbito,Código del área (M49),Área,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"FO","Forestal Producción y Comercio","097","Unión Europea (27)","5510","Producción","2042","Papel con fines gráficos","2014","2014","toneladas","34758374","E","Valor estimado",""
"FO","Forestal Producción y Comercio","097","Unión Europea (27)","5510","Producción","2042","Papel con fines gráficos","2015","2015","toneladas","33512561","E","Valor estimado",""
"FO","Forestal Producción y Comercio","097","Unión Europea (27)","5510","Producción","2042","Papel con fines gráficos","2016","2016","toneladas","32395187","E","Valor estimado",""
"FO","Forestal Producción y Comercio","097","Unión Europea (27)","5510","Producción","2042","Papel con fines gráficos","2017","2017","toneladas","31701619","E","Valor estimado",""
"FO","Forestal Producción y Comercio","097","Unión Europea (27)","5510","Producción","2042","Papel con fines gráficos","2018","2018","toneladas","30395080","E","Valor estimado",""
"FO","Forestal Producción y Comercio","097","Unión Europea (27)","5510","Producción","2042","Papel con fines gráficos","2019","2019","toneladas","27884194","E","Valor estimado",""
"FO","Forestal Producción y Comercio","097","Unión Europea (27)","5510","Producción","2042","Papel con fines gráficos","2020","2020","toneladas","22707671","E","Valor estimado",""
"FO","Forestal Producción y Comercio","097","Unión Europea (27)","5510","Producción","2042","Papel con fines gráficos","2021","2021","toneladas","24089696","E","Valor estimado",""
"FO","Forestal Producción y Comercio","097","Unión Europea (27)","5510","Producción","2042","Papel con fines gráficos","2022","2022","toneladas","21342915","E","Valor estimado",""
"FO","Forestal Producción y Comercio","097","Unión Europea (27)","5510","Producción","2042","Papel con fines gráficos","2023","2023","toneladas","15959115","E","Valor estimado",""
"FO","Forestal Producción y Comercio","097","Unión Europea (27)","5510","Producción","2042","Papel con fines gráficos","2024","2024","toneladas","16416536","E","Valor estimado",""
