DATAFLOW,LAST UPDATE,freq,indic_is,unit,ind_type,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Albania,2019,53.74,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Albania,2020,59.25,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Albania,2021,66.27,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Albania,2022,73.69,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Albania,2023,76.45,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Albania,2024,79.66,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Albania,2025,82.38,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Austria,2019,76.97,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Austria,2020,79.13,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Austria,2021,84.25,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Austria,2022,87.31,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Austria,2023,88.06,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Austria,2024,87.31,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Austria,2025,88.22,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Bosnia and Herzegovina,2019,52.40,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Bosnia and Herzegovina,2020,57.13,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Bosnia and Herzegovina,2021,62.30,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Bosnia and Herzegovina,2023,69.25,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Bosnia and Herzegovina,2024,73.23,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Bosnia and Herzegovina,2025,79.22,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Belgium,2019,57.94,,
ESTAT:ISOC_CI_AC_I$DEFAULTVIEW(1.0),17/04/26 11:00:00,Annual,"Internet use: instant messaging, i.e. exchanging messages, for example, via Skype, Messenger, WhatsApp, Viber",Percentage of individuals,All individuals,Belgium,2020,65.01,,
